
test
0,exit
0,error
1.922443,task-clock
4213078,cycles
2515535,instructions
174106,r533f00
0.002978226,seconds
0,exit
0,error
2.003559,task-clock
2587422,cycles
2499835,instructions
173589,r533f00
626325,cache-references
0.002936556,seconds
0,exit
0,error
2.378093,task-clock
2533809,instructions
173676,r533f00
799028,cache-references
0.003454944,seconds
0,exit
0,error
2.148391,task-clock
3555040,cycles
2546723,instructions
173578,r533f00
550091,cache-references
0.003016959,seconds
0,exit
0,error
2.152609,task-clock
249422,cycles
2513263,instructions
171833,r533f00
804999,cache-references
0.003054531,seconds
0,exit
0,error
1.942017,task-clock
445401,cycles
2483040,instructions
171831,r533f00
785318,cache-references
0.002786244,seconds
0,exit
0,error
2.174303,task-clock
2230224,cycles
2509746,instructions
173589,r533f00
712344,cache-references
0.003069268,seconds
0,exit
0,error
2.031505,task-clock
4455373,cycles
2510518,instructions
171902,r533f00
0.002998543,seconds
0,exit
0,error
1.881173,task-clock
2396664,cycles
2558087,instructions
173621,r533f00
574587,cache-references
0.002882969,seconds
0,exit
0,error
2.082745,task-clock
4570042,cycles
2518832,instructions
173617,r533f00
0.003031563,seconds
0,exit
0,error
2.132138,task-clock
1452125,cycles
2497650,instructions
171941,r533f00
799155,cache-references
0.002941294,seconds
0,exit
0,error
2.340139,task-clock
2511820,cycles
2564399,instructions
173917,r533f00
685618,cache-references
0.003250575,seconds
0,exit
0,error
2.207846,task-clock
1502364,cycles
2555818,instructions
173620,r533f00
816591,cache-references
0.003073780,seconds
0,exit
0,error
1.974608,task-clock
4332070,cycles
2517100,instructions
173734,r533f00
0.002915026,seconds
0,exit
0,error
2.075633,task-clock
2533306,instructions
173602,r533f00
795904,cache-references
0.003029095,seconds
0,exit
0,error
2.138357,task-clock
433942,cycles
2541413,instructions
173704,r533f00
806146,cache-references
0.003099787,seconds
0,exit
0,error
2.040685,task-clock
2499393,instructions
174063,r533f00
780260,cache-references
0.002889362,seconds
0,exit
0,error
2.160860,task-clock
2545968,cycles
2528149,instructions
171865,r533f00
686342,cache-references
0.003064510,seconds
0,exit
0,error
2.082275,task-clock
3496307,cycles
2510160,instructions
173701,r533f00
583177,cache-references
0.002951432,seconds
0,exit
0,error
2.075396,task-clock
2606732,cycles
2538231,instructions
173680,r533f00
604641,cache-references
0.003067058,seconds
0,exit
0,error
2.147369,task-clock
1608603,cycles
2542594,instructions
173588,r533f00
825107,cache-references
0.003033484,seconds
0,exit
0,error
1.943369,task-clock
4263651,cycles
2480364,instructions
174100,r533f00
0.002905818,seconds
0,exit
0,error
2.070428,task-clock
2304013,cycles
2512968,instructions
174401,r533f00
742885,cache-references
0.002952514,seconds
0,exit
0,error
2.127207,task-clock
3590380,cycles
2528681,instructions
171839,r533f00
583606,cache-references
0.003079001,seconds
0,exit
0,error
2.005977,task-clock
2513622,instructions
173901,r533f00
798714,cache-references
0.002974666,seconds
0,exit
0,error
2.045833,task-clock
294814,cycles
2495602,instructions
173574,r533f00
794436,cache-references
0.002970377,seconds
0,exit
0,error
2.071602,task-clock
2117360,cycles
2517277,instructions
173601,r533f00
710034,cache-references
0.003080461,seconds
0,exit
0,error
2.070721,task-clock
1896699,cycles
2498329,instructions
173943,r533f00
766032,cache-references
0.003000176,seconds
0,exit
0,error
1.998180,task-clock
903994,cycles
2514324,instructions
174029,r533f00
809023,cache-references
0.002926393,seconds
0,exit
0,error
2.078861,task-clock
213134,cycles
2532130,instructions
173633,r533f00
803015,cache-references
0.002953530,seconds
0,exit
0,error
2.034374,task-clock
3921893,cycles
2502271,instructions
173888,r533f00
558366,cache-references
0.002852823,seconds
0,exit
0,error
2.018940,task-clock
2514898,instructions
173645,r533f00
785949,cache-references
0.002886419,seconds
0,exit
0,error
1.901585,task-clock
4171860,cycles
2514011,instructions
173627,r533f00
0.002669431,seconds
0,exit
0,error
2.062256,task-clock
4513409,cycles
2529501,instructions
171861,r533f00
0.003034859,seconds
0,exit
0,error
2.200115,task-clock
1450888,cycles
2504561,instructions
173615,r533f00
803069,cache-references
0.003076801,seconds
0,exit
0,error
1.897838,task-clock
2464115,instructions
173578,r533f00
774500,cache-references
0.002809393,seconds
0,exit
0,error
1.943933,task-clock
1818936,cycles
2508491,instructions
173684,r533f00
749110,cache-references
0.002882683,seconds
0,exit
0,error
2.027147,task-clock
4448244,cycles
2510930,instructions
173657,r533f00
0.002946272,seconds
0,exit
0,error
2.033640,task-clock
4238607,cycles
2542254,instructions
173668,r533f00
587354,cache-references
0.002991482,seconds
0,exit
0,error
1.932895,task-clock
4240881,cycles
2519171,instructions
173641,r533f00
0.003023001,seconds
0,exit
0,error
1.938295,task-clock
1867095,cycles
2525401,instructions
171873,r533f00
767483,cache-references
0.002831094,seconds
0,exit
0,error
2.227609,task-clock
1896066,cycles
2527032,instructions
173615,r533f00
810332,cache-references
0.003129997,seconds
0,exit
0,error
2.144315,task-clock
2528836,instructions
173852,r533f00
794494,cache-references
0.003161383,seconds
0,exit
0,error
2.068689,task-clock
4389802,cycles
2518982,instructions
173617,r533f00
653222,cache-references
0.002930860,seconds
0,exit
0,error
2.166129,task-clock
139987,cycles
2534168,instructions
173615,r533f00
805207,cache-references
0.003074348,seconds
0,exit
0,error
2.011745,task-clock
2497275,instructions
173582,r533f00
783381,cache-references
0.002994700,seconds
0,exit
0,error
2.095792,task-clock
178207,cycles
2520960,instructions
173639,r533f00
804212,cache-references
0.002979976,seconds
0,exit
0,error
2.020024,task-clock
3285947,cycles
2522298,instructions
171958,r533f00
605858,cache-references
0.002878636,seconds
0,exit
0,error
1.982431,task-clock
2542099,instructions
173667,r533f00
797931,cache-references
0.002891766,seconds
0,exit
0,error
2.267346,task-clock
1086873,cycles
2524869,instructions
173690,r533f00
825635,cache-references
0.003214666,seconds
0,exit
0,error
1.962048,task-clock
4294425,cycles
2501267,instructions
171909,r533f00
0.002732309,seconds
0,exit
0,error
2.365019,task-clock
4999884,cycles
2530963,instructions
173703,r533f00
738216,cache-references
0.003351343,seconds
0,exit
0,error
2.096977,task-clock
1645780,cycles
2525218,instructions
171840,r533f00
821077,cache-references
0.002977886,seconds
0,exit
0,error
2.065401,task-clock
3133784,cycles
2539024,instructions
174322,r533f00
607929,cache-references
0.002918664,seconds
0,exit
0,error
2.037982,task-clock
1747061,cycles
2497696,instructions
173920,r533f00
781899,cache-references
0.002861858,seconds
0,exit
0,error
2.074304,task-clock
2511138,instructions
171979,r533f00
780871,cache-references
0.002973545,seconds
0,exit
0,error
2.007283,task-clock
1458033,cycles
2504556,instructions
171868,r533f00
805171,cache-references
0.002923956,seconds
0,exit
0,error
1.992454,task-clock
189058,cycles
2535437,instructions
173608,r533f00
808602,cache-references
0.002844143,seconds
0,exit
0,error
2.022542,task-clock
840416,cycles
2517946,instructions
173918,r533f00
800713,cache-references
0.002825232,seconds
0,exit
0,error
2.117044,task-clock
2270105,cycles
2519392,instructions
173653,r533f00
753686,cache-references
0.003097349,seconds

tiny
0,exit
0,error
2.710632,task-clock
3504976,cycles
3474289,instructions
713294,r533f00
903390,cache-references
0.003728633,seconds
0,exit
0,error
2.496043,task-clock
3531122,cycles
3436362,instructions
702547,r533f00
769676,cache-references
0.003324356,seconds
0,exit
0,error
2.611319,task-clock
515708,cycles
3444711,instructions
707755,r533f00
1007507,cache-references
0.003491621,seconds
0,exit
0,error
2.661136,task-clock
1398590,cycles
3443493,instructions
708065,r533f00
1017520,cache-references
0.003685220,seconds
0,exit
0,error
2.632727,task-clock
5700412,cycles
3432419,instructions
708393,r533f00
641000,cache-references
0.003592771,seconds
0,exit
0,error
2.680891,task-clock
5123397,cycles
3454301,instructions
710328,r533f00
826840,cache-references
0.003466273,seconds
0,exit
0,error
2.585495,task-clock
4748029,cycles
3412673,instructions
708292,r533f00
791837,cache-references
0.003523449,seconds
0,exit
0,error
2.876721,task-clock
5457999,cycles
3420445,instructions
708093,r533f00
878186,cache-references
0.004003442,seconds
0,exit
0,error
2.619828,task-clock
5653605,cycles
3407529,instructions
707791,r533f00
729910,cache-references
0.003624322,seconds
0,exit
0,error
2.554636,task-clock
3261037,cycles
3436279,instructions
707813,r533f00
748733,cache-references
0.003376056,seconds
0,exit
0,error
2.702638,task-clock
3633165,cycles
3420141,instructions
710824,r533f00
808794,cache-references
0.003700051,seconds
0,exit
0,error
2.636466,task-clock
3448603,instructions
708064,r533f00
992055,cache-references
0.003618695,seconds
0,exit
0,error
2.474723,task-clock
1826837,cycles
3430682,instructions
710596,r533f00
949358,cache-references
0.003346078,seconds
0,exit
0,error
2.652697,task-clock
3412649,instructions
707685,r533f00
983433,cache-references
0.003462942,seconds
0,exit
0,error
2.703959,task-clock
3440949,instructions
707852,r533f00
994008,cache-references
0.003718562,seconds
0,exit
0,error
2.515657,task-clock
3408347,instructions
710538,r533f00
977840,cache-references
0.003428849,seconds
0,exit
0,error
2.458971,task-clock
429619,cycles
3432337,instructions
710552,r533f00
998635,cache-references
0.003348700,seconds
0,exit
0,error
2.726225,task-clock
56601,cycles
3447101,instructions
707695,r533f00
1008664,cache-references
0.003610642,seconds
0,exit
0,error
2.567673,task-clock
3421240,instructions
707068,r533f00
977264,cache-references
0.003558983,seconds
0,exit
0,error
2.590687,task-clock
3001101,cycles
3447065,instructions
708181,r533f00
802354,cache-references
0.003309552,seconds
0,exit
0,error
2.545928,task-clock
3425866,instructions
707702,r533f00
981913,cache-references
0.003455922,seconds
0,exit
0,error
2.728494,task-clock
791182,cycles
3437472,instructions
707639,r533f00
997669,cache-references
0.003730033,seconds
0,exit
0,error
2.795948,task-clock
1640911,cycles
3456252,instructions
710333,r533f00
1065483,cache-references
0.003761029,seconds
0,exit
0,error
2.685558,task-clock
1709206,cycles
3444447,instructions
710644,r533f00
1027715,cache-references
0.003485092,seconds
0,exit
0,error
2.675922,task-clock
3441783,instructions
706946,r533f00
997324,cache-references
0.003656775,seconds
0,exit
0,error
2.573589,task-clock
5641899,cycles
3424171,instructions
710613,r533f00
0.003537539,seconds
0,exit
0,error
2.643181,task-clock
1546022,cycles
3439288,instructions
708342,r533f00
1027149,cache-references
0.003440205,seconds
0,exit
0,error
2.542019,task-clock
2569790,cycles
3448831,instructions
706169,r533f00
858146,cache-references
0.003312698,seconds
0,exit
0,error
2.493491,task-clock
5476552,cycles
3381387,instructions
709249,r533f00
0.003242318,seconds
0,exit
0,error
2.630383,task-clock
