benchmark,time,kwh,watts,cycles,instructions,r532010,r538010,cache-references,cache-misses
416.gamess.w0,132,0.0028,77.1113636364,498837557065,1064137044743,5,207809540374,204600818,277532
416.gamess.w2,386,0.0082,77.6556994819,1439930051779,3473502166394,1,781411414185,1066627163,3118475
429.mcf.w0,337,0.007,75.6795252226,1261096467234,312656429902,0,27,31976985012,12675548415
433.milc.w0,378,0.0082,78.9238095238,1401829865655,1162483321285,0,447619008979,22773673723,19070427201
434.zeusmp.w0,387,0.0081,75.8958656331,1444010342386,1809030842497,185726,771284965418,7870570414,4050958279
435.gromacs.w0,403,0.008,72.6111662531,1519180391515,1964405582216,859682883335,6812054577,3541074376,37630595
436.cactusADM.w0,661,0.0142,78.3030257186,2490611931858,2717086010734,0,1675582877661,9429135640,4019813443
437.leslie3d.w0,336,0.0074,80.8517857143,1256592296880,1534421942631,0,632360421409,15387447546,2576810059
444.namd.w0,338,0.007,75.2656804734,1281193661167,2284639995206,27,923241658234,310114153,25604012
445.gobmk.w4,71,0.0015,76.5929577465,271595730764,336828882319,122530901,33466082,447078387,46295511
445.gobmk.w2,67,0.0014,76.8313432836,254775381349,321155343916,266342353,96274143,826633702,91951804
445.gobmk.w3,53,0.0011,76.3358490566,201184191960,234443924245,46083855,15880609,482016891,45051749
445.gobmk.w0,53,0.0011,76.2132075472,201706006747,233303706167,35937976,12293747,602400915,46485330
445.gobmk.w1,138,0.0029,76.4630434783,515902936424,620991425038,201534268,54875695,1101184797,120023728
450.soplex.w0,131,0.0027,76.9870229008,496046843828,361144677978,0,28344904635,11730347892,3243324086
450.soplex.w1,90,0.002,81.8733333333,337391546048,381488293127,0,58823130774,5364715529,1650452036
453.povray.w0,146,0.0031,78.6410958904,555397939881,973145034767,2009705185,158028391850,1076564798,151708
454.calculix.w0,629,0.0134,77.2240063593,2350501465697,6183731865470,11301283,2589408521852,4487068485,472712600
456.hmmer.w1,265,0.0056,77.0524528302,989124522381,1855325419745,4714442225,1185563624,417342921,50678
456.hmmer.w0,121,0.0026,77.6190082645,455812762404,876753736000,3647890,25776322,345482361,5272717
458.sjeng.w0,447,0.0094,76.2257270694,1662779637000,2256414443825,0,19946,1983658834,893661808
459.GemsFDTD.w0,340,0.0077,83.0620588235,1266921673846,1405858383041,0,747115202784,30201286962,10440260180
462.libquantum.w0,366,0.0085,85.0092896175,1353484686798,2290924158524,1178248179,158954624,37108729570,13914029336
464.h264ref.w0,53,0.0011,76.5320754717,201761049073,496518516355,2274,69481707,507897758,5457074
464.h264ref.w1,41,0.0008,76.0170731707,154993164091,332122638456,2281,41123689,263119736,1647647
464.h264ref.w2,365,0.0077,76.6671232877,1361002737908,2956778742445,3191,360969654,2725904427,39886959
465.tonto.w0,396,0.0082,75.6638888889,1495658380566,2593971433563,40,498760381018,8866050830,192989230
470.lbm.w0,245,0.0058,85.8363265306,921658757187,1245971229775,0,762618005054,15807955266,3173757826
471.omnetpp.w0,288,0.006,75.8607638889,1067986814542,579964513934,5,1281146932,17262801935,7905385297
473.astar.w0,139,0.0029,76.5064748201,521078534752,405191581527,129172383,894160,8769600865,2666717824
473.astar.w1,215,0.0045,75.8813953488,802387553083,812378228631,43272242,269282,8009114495,217588771
481.wrf.w0,498,0.0105,76.9554216867,1859990439541,2977568608166,1078941152036,5332112142,5688166942,1382417002
482.sphinx3.w0,499,0.0106,77.3607214429,1855565292971,3356590194530,234853428099,710562351376,19054164612,1985785284
483.xalancbmk.w0,205,0.0042,75.92,772082215049,986261134684,0,409413714,8296119701,2619298458
998.specrand.w0,0.0,0.0,0.0,271031834,580165841,0,1174666,87694,52884
999.specrand.w0,0.0,0.0,0.0,271544759,580178616,0,1174642,88082,53088
blackscholes,138,0.0027,72.7826086957,521603271645,696914694862,58825682974,108358389920,62539730,34652210
bodytrack,131,0.0026,72.2694656489,464570759897,818698124610,236975321759,11376986162,1736916557,21317227
canneal,212,0.0042,72.3004716981,791756249157,382650980689,0,7223926809,5131948801,3321639735
ferret,278,0.0061,79.7672661871,1337197343027,1787384790544,106423066969,70160886852,3213119634,1756200764
fluidanimate,269,0.0056,75.8609665428,1008302883877,1687651842739,495937400424,11,2373574813,1320238616
freqmine,379,0.0079,75.8432717678,1442272418454,2548905810311,0,37,681441737,238628689
netstreamcluster,379,0.0088,84.3313984169,1400363513343,1087045014408,671243804137,1730845607,18875550429,16850600151
streamcluster,368,0.0075,74.2388586957,1375305868143,1037979683082,668580222850,1754399567,18566931569,16742170095
swaptions,208,0.0043,75.525,779727523123,1420657893868,2894562,293283405421,6578904,53415
x264,112,0.0023,75.0625,398398564378,598646604936,15705024,10446,3225659210,469865503
400.perlbench.w0,156,0.0032,75.9378205128,589179488967,1069810397691,0,9920037,2723480736,446199625
400.perlbench.w1,52,0.0011,78.2673076923,200329526537,371404699741,0,2272158,920917050,22334361
400.perlbench.w2,76,0.0016,77.5618421053,287354131972,668943809779,0,14647663,808333096,205829343
401.bzip2.w3,85,0.0017,75.1588235294,316950915697,543307211919,0,0,1782441505,39944207
401.bzip2.w2,41,0.0008,75.2,159331387545,298334757059,0,0,4042331066,30516933
401.bzip2.w1,24,0.0005,75.2625,96449461079,178558014583,0,2,1479934588,28728747
401.bzip2.w0,80,0.0016,75.54375,299934792388,414339401862,0,0,2698063277,41634828
401.bzip2.w5,61,0.0012,75.731147541,232524843774,332287999669,0,8,2326384467,31956600
401.bzip2.w4,93,0.0019,75.5225806452,350395430726,623828921384,0,0,3706414152,34568186
403.gcc.w8,11,0.0002,75.0545454545,44347167828,56366106388,839,651371,349999887,43271874
403.gcc.w5,31,0.0006,76.1838709677,119552850547,150863501577,5,751578,3889850549,273810364
403.gcc.w4,22,0.0004,75.9272727273,85218746549,111064358754,204,519807,2921875994,187517464
403.gcc.w7,42,0.0009,77.95,161029605383,166341109725,36,682615,2605969076,624281474
403.gcc.w6,44,0.0009,76.8840909091,167236013349,178946830185,8,397711,4022250207,754990594
403.gcc.w1,31,0.0006,76.4903225806,119923660606,146776685995,141,945837,1308552788,218366788
403.gcc.w0,20,0.0004,75.515,75293359688,76153169579,12,529355,1672056213,319998088
403.gcc.w3,18,0.0003,75.6333333333,72345510753,100744808170,129,491811,2172329070,118084130
403.gcc.w2,28,0.0005,75.6642857143,106724027597,134436782660,392,1404568,4004767933,178437089
410.bwaves.w0,457,0.0102,81.5203501094,1721019778290,3441257924615,0,889951598275,19886691139,1936892918
416.gamess.w1,90,0.0019,78.1166666667,337605820184,829649496037,0,169360961906,228037783,316748
416.gamess.w0,131,0.0028,77.1229007634,499363735507,1064156174406,2,207783737641,218263597,279635
416.gamess.w2,386,0.0082,77.4259067358,1439246292507,3473503221714,1,781530905700,1041752448,3165586
429.mcf.w0,338,0.007,75.7233727811,1253249369632,312612505400,0,25,31940074148,12649917603
433.milc.w0,377,0.0081,78.100530504,1408075518333,1162521987310,0,447257083647,22770353555,19063839811
434.zeusmp.w0,387,0.008,75.8248062016,1442479504121,1809028923911,185641,771169594304,8041295692,4052386318
435.gromacs.w0,402,0.008,72.8054726368,1501932333361,1964400162916,857507356482,6811866252,3479866765,34570363
436.cactusADM.w0,668,0.0141,76.9263473054,2454914566702,2717070487039,0,1669737198620,9416021275,4047200724
437.leslie3d.w0,337,0.0075,80.7403560831,1257407658417,1534423620001,0,632481630515,15543103147,2683524768
