bench,watts,kwh,exit,error,cycles,instructions,r533f00,cache-references,cache-misses,seconds
freqmine,340.490476,0.000067,0,703980378006,23976.482716,52742101885,93583506630,3108033276,24487284040,36822683,24.002025466
freqmine,339.957143,0.000067,0,703980378006,23976.482716,52742101885,93583506630,3108033276,24487284040,36822683,24.002025466
freqmine,339.971429,0.000067,0,703980378006,23976.482716,52742101885,93583506630,3108033276,24487284040,36822683,24.002025466
freqmine,340.940000,0.000063,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,343.104762,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,340.614286,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,340.219048,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,341.309524,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,341.347619,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,340.119048,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,340.733333,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,340.423810,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,339.942857,0.000067,0,706762367106,23974.174341,52736746884,92208081050,3056671438,24130895325,31807303,23.999771657
freqmine,339.561905,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,339.880952,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,338.376190,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,339.628571,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,339.576190,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,339.323810,0.000063,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,343.533333,0.000067,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,338.780952,0.000063,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,340.295238,0.000063,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
freqmine,340.290476,0.000063,0,703760905751,23974.123287,52737564698,93662237695,3113412967,24498550427,45918548,23.999809947
swaptions,340.078082,0.000690,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,339.742273,0.000690,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,339.440909,0.000690,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,339.275799,0.000687,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,338.600457,0.000687,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,339.084091,0.000687,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,340.273516,0.000690,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,340.335160,0.000690,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,340.073973,0.000687,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
swaptions,339.477169,0.000687,0,0,10994.281015,24181538854,27558892280,11934071559,6820199973,779265,11.005996014
bzip2,333.400000,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.666667,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,333.000000,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.233333,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,333.000000,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.833333,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.766667,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,333.366667,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.633333,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
bzip2,332.633333,0.000010,0,0,189.874122,403874699,647951405,6622,138721176,23718,0.190777892
fluidanimate,341.090541,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,340.941892,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,341.210811,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,342.153425,0.000230,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,341.582432,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,341.725676,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,341.813699,0.000230,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,340.947297,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,341.104054,0.000233,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
fluidanimate,340.391892,0.000230,0,0,3816.078367,8393665036,9731356653,4682101102,2725449082,282420,3.821215128
freqmine,340.500000,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,340.657143,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,341.276190,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,340.345455,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,340.190476,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,339.714286,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,340.386364,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,339.690476,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,339.709524,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,340.150000,0.000067,0,708672820133,23978.022907,52745313410,91280057282,3027202497,23961951695,32338830,24.021569331
freqmine,338.657143,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.814286,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.842857,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,339.800000,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.614286,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,342.166667,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.785714,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,339.909524,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.466667,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
freqmine,338.390476,0.000067,0,703106843728,23979.379038,52748879420,93962947804,3121026204,24581814384,46207272,24.005251993
swaptions,337.920611,0.000410,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.634848,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,339.087879,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,339.698473,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,339.434091,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.701527,0.000410,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.823485,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.194697,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.251515,0.000410,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
swaptions,338.510606,0.000413,0,0,6650.938696,14616927312,15767822511,5759581690,4088375443,2872496,6.658373381
